"","County","Year","Median.AQI"
"1","Alexander",2021,41
"2","Avery",2021,40
"3","Buncombe",2021,35
"4","Caldwell",2021,40
"5","Carteret",2021,35
"6","Caswell",2021,38
"7","Catawba",2021,35
"8","Cumberland",2021,41
"9","Davidson",2021,35
"10","Durham",2021,39
"11","Edgecombe",2021,36
"12","Forsyth",2021,43
"13","Graham",2021,42
"14","Granville",2021,38
"15","Guilford",2021,40
"16","Haywood",2021,43
"17","Hyde",2021,16
"18","Jackson",2021,28
"19","Johnston",2021,39
"20","Lenoir",2021,34
"21","Lincoln",2021,42
"22","Macon",2021,30
"23","Martin",2021,32
"24","Mecklenburg",2021,44
"25","Mitchell",2021,23
"26","Montgomery",2021,37
"27","New Hanover",2021,34
"28","Northampton",2021,26
"29","Person",2021,41
"30","Pitt",2021,34
"31","Rockingham",2021,43
"32","Rowan",2021,41
"33","Swain",2021,37
"34","Union",2021,42
"35","Wake",2021,42
"36","Yancey",2021,44
"37","Alexander",2020,33
"38","Avery",2020,37
"39","Buncombe",2020,31
"40","Caldwell",2020,34
"41","Carteret",2020,34
"42","Caswell",2020,31
"43","Catawba",2020,31
"44","Cumberland",2020,35
"45","Davidson",2020,32
"46","Durham",2020,35
"47","Edgecombe",2020,32
"48","Forsyth",2020,40
"49","Graham",2020,40
"50","Granville",2020,36
"51","Guilford",2020,36
"52","Haywood",2020,41
"53","Hyde",2020,15
"54","Jackson",2020,24
"55","Johnston",2020,36
"56","Lenoir",2020,32
"57","Lincoln",2020,35
"58","Macon",2020,29
"59","Martin",2020,33
"60","Mecklenburg",2020,40
"61","Mitchell",2020,20
"62","Montgomery",2020,35
"63","New Hanover",2020,31
"64","Northampton",2020,22
"65","Person",2020,34
"66","Pitt",2020,33
"67","Rockingham",2020,36
"68","Rowan",2020,39
"69","Swain",2020,33
"70","Union",2020,31
"71","Wake",2020,38
"72","Yancey",2020,44
"73","Alexander",2019,39
"74","Avery",2019,40
"75","Buncombe",2019,38
"76","Caldwell",2019,42
"77","Carteret",2019,37
"78","Caswell",2019,39
"79","Catawba",2019,33
"80","Cumberland",2019,41
"81","Davidson",2019,35
"82","Durham",2019,42
"83","Edgecombe",2019,36
"84","Forsyth",2019,45
"85","Graham",2019,44
"86","Granville",2019,44
"87","Guilford",2019,42
"88","Haywood",2019,45
"89","Hyde",2019,18
"90","Jackson",2019,26
"91","Johnston",2019,40
"92","Lenoir",2019,42
"93","Lincoln",2019,44
"94","Macon",2019,33
"95","Martin",2019,40
"96","Mecklenburg",2019,45
"97","Mitchell",2019,22
"98","Montgomery",2019,39
"99","New Hanover",2019,34
"100","Northampton",2019,32
"101","Person",2019,44
"102","Pitt",2019,38
"103","Rockingham",2019,44
"104","Rowan",2019,43
"105","Swain",2019,37
"106","Union",2019,45
"107","Wake",2019,46
"108","Yancey",2019,45
"109","Alexander",2018,40
"110","Avery",2018,38
"111","Buncombe",2018,35
"112","Caldwell",2018,39
"113","Carteret",2018,38
"114","Caswell",2018,40
"115","Catawba",2018,32
"116","Cumberland",2018,38
"117","Davidson",2018,37
"118","Durham",2018,42
"119","Edgecombe",2018,33
"120","Forsyth",2018,44
"121","Graham",2018,43
"122","Granville",2018,42
"123","Guilford",2018,40
"124","Haywood",2018,44
"125","Hyde",2018,19
"126","Jackson",2018,41
"127","Johnston",2018,39
"128","Lee",2018,45
"129","Lenoir",2018,36
"130","Lincoln",2018,41
"131","Macon",2018,31
"132","Martin",2018,34
"133","Mecklenburg",2018,44
"134","Mitchell",2018,20
"135","Montgomery",2018,35
"136","New Hanover",2018,30
"137","Person",2018,40
"138","Pitt",2018,35
"139","Rockingham",2018,42
"140","Rowan",2018,35
"141","Swain",2018,36
"142","Union",2018,44
"143","Wake",2018,44
"144","Yancey",2018,44
"145","Alexander",2017,38
"146","Avery",2017,40
"147","Buncombe",2017,39
"148","Caldwell",2017,42
"149","Carteret",2017,35
"150","Caswell",2017,37
"151","Catawba",2017,33
"152","Cumberland",2017,43
"153","Davidson",2017,35
"154","Durham",2017,43
"155","Edgecombe",2017,37
"156","Forsyth",2017,43
"157","Graham",2017,43
"158","Granville",2017,43
"159","Guilford",2017,42
"160","Haywood",2017,44
"161","Hyde",2017,18
"162","Jackson",2017,44
"163","Johnston",2017,40
"164","Lee",2017,43
"165","Lenoir",2017,35
"166","Lincoln",2017,42
"167","Macon",2017,33
"168","Martin",2017,38
"169","Mecklenburg",2017,46
"170","Mitchell",2017,25
"171","Montgomery",2017,38
"172","New Hanover",2017,34
"173","Person",2017,41
"174","Pitt",2017,39
"175","Rockingham",2017,42
"176","Rowan",2017,38
"177","Swain",2017,38
"178","Union",2017,43
"179","Wake",2017,44
"180","Yancey",2017,44
"181","Alexander",2016,39
"182","Avery",2016,41
"183","Buncombe",2016,38
"184","Caldwell",2016,43
"185","Carteret",2016,36
"186","Caswell",2016,32
"187","Catawba",2016,36
"188","Cumberland",2016,41
"189","Davidson",2016,35
"190","Durham",2016,41
"191","Edgecombe",2016,34
"192","Forsyth",2016,42
"193","Graham",2016,45
"194","Granville",2016,41
"195","Guilford",2016,42
"196","Haywood",2016,44
"197","Hyde",2016,20
"198","Jackson",2016,45
"199","Johnston",2016,40
"200","Lee",2016,43
"201","Lenoir",2016,40
"202","Lincoln",2016,44
"203","Macon",2016,35
"204","Martin",2016,36
"205","Mecklenburg",2016,44
"206","Mitchell",2016,28
"207","Montgomery",2016,37
"208","New Hanover",2016,31
"209","Person",2016,40
"210","Pitt",2016,38
"211","Rockingham",2016,42
"212","Rowan",2016,37
"213","Swain",2016,40
"214","Union",2016,44
"215","Wake",2016,46
"216","Yancey",2016,46
"217","Alamance",2015,32
"218","Alexander",2015,43
"219","Avery",2015,40
"220","Buncombe",2015,36
"221","Caldwell",2015,42
"222","Carteret",2015,37
"223","Caswell",2015,40
"224","Catawba",2015,39
"225","Chatham",2015,38
"226","Cumberland",2015,41
"227","Davidson",2015,45
"228","Duplin",2015,26
"229","Durham",2015,41
"230","Edgecombe",2015,36
"231","Forsyth",2015,43
"232","Franklin",2015,43
"233","Gaston",2015,29
"234","Graham",2015,43
"235","Granville",2015,44
"236","Guilford",2015,41
